split_type,client_id,num_nodes,num_edges
metis_equal,29,249,720
metis_equal,30,249,745
metis_equal,31,248,666
louvain_zipf_skewed,0,1875,5485
louvain_zipf_skewed,1,649,1892
louvain_zipf_skewed,2,260,717
louvain_zipf_skewed,3,296,931
louvain_zipf_skewed,4,491,1455
louvain_zipf_skewed,5,141,432
louvain_zipf_skewed,6,2,0
louvain_zipf_skewed,7,558,1623
louvain_zipf_skewed,8,1,0
louvain_zipf_skewed,9,227,636
louvain_zipf_skewed,10,176,491
louvain_zipf_skewed,11,200,591
louvain_zipf_skewed,12,254,824
louvain_zipf_skewed,13,476,1390
louvain_zipf_skewed,14,1,0
louvain_zipf_skewed,15,224,660
louvain_zipf_skewed,16,1,0
louvain_zipf_skewed,17,217,674
louvain_zipf_skewed,18,152,430
louvain_zipf_skewed,19,172,501
louvain_zipf_skewed,20,292,830
louvain_zipf_skewed,21,1,0
louvain_zipf_skewed,22,218,642
louvain_zipf_skewed,23,1,0
louvain_zipf_skewed,24,1,0
louvain_zipf_skewed,25,288,914
louvain_zipf_skewed,26,209,576
louvain_zipf_skewed,27,295,840
louvain_zipf_skewed,28,1,0
louvain_zipf_skewed,29,305,854
louvain_zipf_skewed,30,1,0
louvain_zipf_skewed,31,207,624
metis_zipf_skewed,0,260,776
metis_zipf_skewed,1,262,754
metis_zipf_skewed,2,261,773
metis_zipf_skewed,3,249,730
metis_zipf_skewed,4,250,741
metis_zipf_skewed,5,257,742
metis_zipf_skewed,6,263,801
metis_zipf_skewed,7,254,740
metis_zipf_skewed,8,254,715
metis_zipf_skewed,9,261,784
metis_zipf_skewed,10,254,759
metis_zipf_skewed,11,262,784
metis_zipf_skewed,12,254,710
metis_zipf_skewed,13,250,767
metis_zipf_skewed,14,262,754
metis_zipf_skewed,15,254,713
metis_zipf_skewed,16,249,720
metis_zipf_skewed,17,251,716
metis_zipf_skewed,18,258,726
metis_zipf_skewed,19,254,738
metis_zipf_skewed,20,249,745
metis_zipf_skewed,21,263,751
metis_zipf_skewed,22,252,774
metis_zipf_skewed,23,255,803
metis_zipf_skewed,24,255,726
metis_zipf_skewed,25,261,730
metis_zipf_skewed,26,254,739
metis_zipf_skewed,27,248,666
metis_zipf_skewed,28,261,784
metis_zipf_skewed,29,260,780
metis_zipf_skewed,30,257,744
metis_zipf_skewed,31,258,754
