Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 3, 'neighbors_per_hop': [15, 10, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': None}
Using unweighted BCEWithLogitsLoss.
[PORT] fwd edge_attr: (2675, 2) (dtype=torch.int64) | rev edge_attr: (2736, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 091 | train 0.1582 | val 0.1816 | val macro-minF1 87.04%
[seed 0] Epoch 092 | train 0.1590 | val 0.1890 | val macro-minF1 85.94%
[seed 0] Epoch 093 | train 0.1588 | val 0.1850 | val macro-minF1 85.63%
[seed 0] Epoch 094 | train 0.1582 | val 0.1891 | val macro-minF1 86.52%
[seed 0] Epoch 095 | train 0.1570 | val 0.1835 | val macro-minF1 86.70%
[seed 0] Epoch 096 | train 0.1572 | val 0.1856 | val macro-minF1 86.46%
[seed 0] Epoch 097 | train 0.1581 | val 0.1849 | val macro-minF1 86.72%
[seed 0] Epoch 098 | train 0.1564 | val 0.1839 | val macro-minF1 86.96%
[seed 0] Epoch 099 | train 0.1561 | val 0.1820 | val macro-minF1 86.72%
[seed 0] Epoch 100 | train 0.1550 | val 0.1838 | val macro-minF1 86.21%
Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 3, 'neighbors_per_hop': [15, 10, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': None}
Using unweighted BCEWithLogitsLoss.
[PORT] fwd edge_attr: (2707, 2) (dtype=torch.int64) | rev edge_attr: (2661, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 1] Epoch 001 | train 0.3152 | val 0.2846 | val macro-minF1 74.85%
[seed 1] Epoch 002 | train 0.2686 | val 0.2574 | val macro-minF1 77.37%
[seed 1] Epoch 003 | train 0.2596 | val 0.2552 | val macro-minF1 78.72%
[seed 1] Epoch 004 | train 0.2557 | val 0.2524 | val macro-minF1 76.34%
[seed 1] Epoch 005 | train 0.2538 | val 0.2529 | val macro-minF1 76.42%
[seed 1] Epoch 006 | train 0.2512 | val 0.2502 | val macro-minF1 77.11%
[seed 1] Epoch 007 | train 0.2498 | val 0.2478 | val macro-minF1 76.37%
[seed 1] Epoch 008 | train 0.2483 | val 0.2561 | val macro-minF1 77.73%
[seed 1] Epoch 009 | train 0.2469 | val 0.2467 | val macro-minF1 77.26%
[seed 1] Epoch 010 | train 0.2458 | val 0.2482 | val macro-minF1 78.66%
[seed 1] Epoch 011 | train 0.2453 | val 0.2510 | val macro-minF1 78.89%
[seed 1] Epoch 012 | train 0.2447 | val 0.2502 | val macro-minF1 78.78%
[seed 1] Epoch 013 | train 0.2436 | val 0.2539 | val macro-minF1 74.83%
[seed 1] Epoch 014 | train 0.2428 | val 0.2489 | val macro-minF1 76.17%
[seed 1] Epoch 015 | train 0.2433 | val 0.2478 | val macro-minF1 78.58%
[seed 1] Epoch 016 | train 0.2416 | val 0.2497 | val macro-minF1 77.80%
