Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 3, 'neighbors_per_hop': [15, 10, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (2675, 2) (dtype=torch.int64) | rev edge_attr: (2736, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 1] Epoch 064 | train 0.1705 | val 0.1880 | val macro-minF1 86.84%
[seed 1] Epoch 065 | train 0.1710 | val 0.1876 | val macro-minF1 87.45%
[seed 1] Epoch 066 | train 0.1688 | val 0.1851 | val macro-minF1 87.96%
[seed 1] Epoch 067 | train 0.1692 | val 0.1920 | val macro-minF1 87.46%
[seed 1] Epoch 068 | train 0.1689 | val 0.1912 | val macro-minF1 86.70%
[seed 1] Epoch 069 | train 0.1697 | val 0.1915 | val macro-minF1 87.36%
[seed 1] Epoch 070 | train 0.1677 | val 0.2010 | val macro-minF1 87.02%
[seed 1] Epoch 071 | train 0.1697 | val 0.1844 | val macro-minF1 87.82%
[seed 1] Epoch 072 | train 0.1667 | val 0.1865 | val macro-minF1 87.80%
[seed 1] Epoch 073 | train 0.1662 | val 0.1901 | val macro-minF1 87.63%
[seed 1] Epoch 074 | train 0.1682 | val 0.1994 | val macro-minF1 87.03%
[seed 1] Epoch 075 | train 0.1647 | val 0.1856 | val macro-minF1 87.97%
[seed 1] Epoch 076 | train 0.1655 | val 0.1922 | val macro-minF1 87.45%
[seed 1] Epoch 077 | train 0.1662 | val 0.1947 | val macro-minF1 87.39%
[seed 1] Epoch 078 | train 0.1664 | val 0.1863 | val macro-minF1 87.92%
[seed 1] Epoch 079 | train 0.1652 | val 0.1891 | val macro-minF1 87.63%
[seed 1] Epoch 080 | train 0.1670 | val 0.1902 | val macro-minF1 87.83%
[seed 1] Epoch 081 | train 0.1640 | val 0.1882 | val macro-minF1 88.08%
[seed 1] Epoch 082 | train 0.1639 | val 0.1919 | val macro-minF1 87.46%
[seed 1] Epoch 083 | train 0.1645 | val 0.1883 | val macro-minF1 87.65%
[seed 1] Epoch 084 | train 0.1655 | val 0.1892 | val macro-minF1 87.80%
[seed 1] Epoch 085 | train 0.1651 | val 0.1915 | val macro-minF1 87.59%
[seed 1] Epoch 086 | train 0.1632 | val 0.1914 | val macro-minF1 87.84%
[seed 1] Epoch 087 | train 0.1628 | val 0.1893 | val macro-minF1 87.80%
[seed 1] Epoch 088 | train 0.1640 | val 0.1947 | val macro-minF1 87.21%
[seed 1] Epoch 089 | train 0.1636 | val 0.1918 | val macro-minF1 87.82%
[seed 1] Epoch 090 | train 0.1615 | val 0.1943 | val macro-minF1 87.95%
[seed 1] Epoch 091 | train 0.1607 | val 0.1937 | val macro-minF1 87.66%
[seed 1] Epoch 092 | train 0.1624 | val 0.1925 | val macro-minF1 87.16%
[seed 1] Epoch 093 | train 0.1616 | val 0.1912 | val macro-minF1 87.52%
[seed 1] Epoch 094 | train 0.1613 | val 0.1973 | val macro-minF1 87.33%
[seed 1] Epoch 095 | train 0.1602 | val 0.1942 | val macro-minF1 87.33%
[seed 1] Epoch 096 | train 0.1631 | val 0.1901 | val macro-minF1 87.30%
[seed 1] Epoch 097 | train 0.1606 | val 0.1990 | val macro-minF1 87.45%
[seed 1] Epoch 098 | train 0.1588 | val 0.2028 | val macro-minF1 87.36%
[seed 1] Epoch 099 | train 0.1586 | val 0.1927 | val macro-minF1 87.44%
[seed 1] Epoch 100 | train 0.1579 | val 0.1948 | val macro-minF1 87.75%
Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 3, 'neighbors_per_hop': [15, 10, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
