Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 6, 'neighbors_per_hop': [15, 15, 10, 10, 5, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (10694, 2) (dtype=torch.int64) | rev edge_attr: (10716, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 093 | train 0.0598 | val 0.0627 | val macro-minF1 94.70%
[seed 0] Epoch 094 | train 0.0587 | val 0.0571 | val macro-minF1 94.57%
[seed 0] Epoch 095 | train 0.0623 | val 0.0620 | val macro-minF1 94.68%
[seed 0] Epoch 096 | train 0.0608 | val 0.0615 | val macro-minF1 94.97%
[seed 0] Epoch 097 | train 0.0614 | val 0.0565 | val macro-minF1 94.60%
[seed 0] Epoch 098 | train 0.0573 | val 0.0560 | val macro-minF1 94.09%
[seed 0] Epoch 099 | train 0.0576 | val 0.0645 | val macro-minF1 93.21%
[seed 0] Epoch 100 | train 0.0596 | val 0.0597 | val macro-minF1 94.00%

PNA reverse message passing with mini-batch training, port numbers=True, & ego IDs=True — macro minority F1 over 5 runs: 93.84%
Per-task (mean±std over 5 runs): deg-in: 100.00±0.00% | deg-out: 99.98±0.00% | fan-in: 100.00±0.00% | fan-out: 100.00±0.00% | C2: 99.62±0.00% | C3: 98.82±0.00% | C4: 98.37±0.00% | C5: 71.16±0.00% | C6: 69.85±0.00% | S-G: 97.29±0.00% | B-C: 97.14±0.00%
