Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 2, 'neighbors_per_hop': [15, 10], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': None}
Using unweighted BCEWithLogitsLoss.
[PORT] fwd edge_attr: (695, 2) (dtype=torch.int64) | rev edge_attr: (737, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 1] Epoch 030 | train 0.2473 | val 0.2522 | val macro-minF1 75.77%
[seed 1] Epoch 031 | train 0.2464 | val 0.2553 | val macro-minF1 74.05%
[seed 1] Epoch 032 | train 0.2465 | val 0.2606 | val macro-minF1 72.79%
[seed 1] Epoch 033 | train 0.2464 | val 0.2474 | val macro-minF1 77.13%
[seed 1] Epoch 034 | train 0.2461 | val 0.2519 | val macro-minF1 76.77%
[seed 1] Epoch 035 | train 0.2453 | val 0.2518 | val macro-minF1 75.27%
[seed 1] Epoch 036 | train 0.2459 | val 0.2480 | val macro-minF1 77.16%
[seed 1] Epoch 037 | train 0.2455 | val 0.2499 | val macro-minF1 74.82%
[seed 1] Epoch 038 | train 0.2445 | val 0.2524 | val macro-minF1 76.37%
[seed 1] Epoch 039 | train 0.2456 | val 0.2488 | val macro-minF1 75.76%
[seed 1] Epoch 040 | train 0.2451 | val 0.2497 | val macro-minF1 76.91%
[seed 1] Epoch 041 | train 0.2447 | val 0.2476 | val macro-minF1 76.57%
[seed 1] Epoch 042 | train 0.2437 | val 0.2538 | val macro-minF1 74.48%
[seed 1] Epoch 043 | train 0.2440 | val 0.2502 | val macro-minF1 75.37%
[seed 1] Epoch 044 | train 0.2441 | val 0.2498 | val macro-minF1 77.46%
[seed 1] Epoch 045 | train 0.2439 | val 0.2504 | val macro-minF1 75.02%
[seed 1] Epoch 046 | train 0.2428 | val 0.2534 | val macro-minF1 78.01%
[seed 1] Epoch 047 | train 0.2434 | val 0.2503 | val macro-minF1 75.43%
[seed 1] Epoch 048 | train 0.2433 | val 0.2524 | val macro-minF1 77.53%
[seed 1] Epoch 049 | train 0.2433 | val 0.2504 | val macro-minF1 77.12%
[seed 1] Epoch 050 | train 0.2421 | val 0.2487 | val macro-minF1 77.18%
[seed 1] Epoch 051 | train 0.2423 | val 0.2489 | val macro-minF1 77.71%
[seed 1] Epoch 052 | train 0.2423 | val 0.2517 | val macro-minF1 78.27%
[seed 1] Epoch 053 | train 0.2419 | val 0.2511 | val macro-minF1 77.23%
[seed 1] Epoch 054 | train 0.2417 | val 0.2496 | val macro-minF1 77.69%
[seed 1] Epoch 055 | train 0.2417 | val 0.2494 | val macro-minF1 76.57%
[seed 1] Epoch 056 | train 0.2412 | val 0.2490 | val macro-minF1 76.70%
[seed 1] Epoch 057 | train 0.2410 | val 0.2490 | val macro-minF1 76.70%
[seed 1] Epoch 058 | train 0.2408 | val 0.2492 | val macro-minF1 75.96%
[seed 1] Epoch 059 | train 0.2405 | val 0.2506 | val macro-minF1 76.63%
[seed 1] Epoch 060 | train 0.2405 | val 0.2541 | val macro-minF1 78.02%
[seed 1] Epoch 061 | train 0.2399 | val 0.2523 | val macro-minF1 76.12%
[seed 1] Epoch 062 | train 0.2411 | val 0.2505 | val macro-minF1 76.65%
[seed 1] Epoch 063 | train 0.2401 | val 0.2535 | val macro-minF1 76.97%
[seed 1] Epoch 064 | train 0.2394 | val 0.2505 | val macro-minF1 77.46%
[seed 1] Epoch 065 | train 0.2398 | val 0.2494 | val macro-minF1 75.46%
[seed 1] Epoch 066 | train 0.2392 | val 0.2531 | val macro-minF1 77.57%
[seed 1] Epoch 067 | train 0.2400 | val 0.2529 | val macro-minF1 77.13%
[seed 1] Epoch 068 | train 0.2390 | val 0.2500 | val macro-minF1 78.21%
[seed 1] Epoch 069 | train 0.2387 | val 0.2499 | val macro-minF1 77.62%
[seed 1] Epoch 070 | train 0.2389 | val 0.2501 | val macro-minF1 76.32%
[seed 1] Epoch 071 | train 0.2386 | val 0.2554 | val macro-minF1 74.11%
[seed 1] Epoch 072 | train 0.2386 | val 0.2500 | val macro-minF1 77.68%
[seed 1] Epoch 073 | train 0.2381 | val 0.2518 | val macro-minF1 76.31%
[seed 1] Epoch 074 | train 0.2374 | val 0.2497 | val macro-minF1 77.62%
[seed 1] Epoch 075 | train 0.2268 | val 0.2241 | val macro-minF1 82.53%
[seed 1] Epoch 076 | train 0.2136 | val 0.2183 | val macro-minF1 82.49%
[seed 1] Epoch 077 | train 0.2112 | val 0.2198 | val macro-minF1 82.53%
[seed 1] Epoch 078 | train 0.2104 | val 0.2199 | val macro-minF1 82.38%
[seed 1] Epoch 079 | train 0.2077 | val 0.2171 | val macro-minF1 82.94%
[seed 1] Epoch 080 | train 0.2073 | val 0.2146 | val macro-minF1 83.22%
[seed 1] Epoch 081 | train 0.2066 | val 0.2147 | val macro-minF1 82.91%
[seed 1] Epoch 082 | train 0.2062 | val 0.2156 | val macro-minF1 82.91%
[seed 1] Epoch 083 | train 0.2066 | val 0.2167 | val macro-minF1 82.90%
[seed 1] Epoch 084 | train 0.2056 | val 0.2182 | val macro-minF1 82.84%
[seed 1] Epoch 085 | train 0.2056 | val 0.2183 | val macro-minF1 82.08%
[seed 1] Epoch 086 | train 0.2044 | val 0.2158 | val macro-minF1 83.51%
[seed 1] Epoch 087 | train 0.2060 | val 0.2175 | val macro-minF1 83.72%
[seed 1] Epoch 088 | train 0.2047 | val 0.2155 | val macro-minF1 83.22%
[seed 1] Epoch 089 | train 0.2032 | val 0.2298 | val macro-minF1 83.04%
[seed 1] Epoch 090 | train 0.2039 | val 0.2196 | val macro-minF1 82.36%
[seed 1] Epoch 091 | train 0.2037 | val 0.2167 | val macro-minF1 83.24%
[seed 1] Epoch 092 | train 0.2032 | val 0.2240 | val macro-minF1 81.85%
[seed 1] Epoch 093 | train 0.2048 | val 0.2174 | val macro-minF1 83.52%
[seed 1] Epoch 094 | train 0.2032 | val 0.2197 | val macro-minF1 82.41%
[seed 1] Epoch 095 | train 0.2034 | val 0.2170 | val macro-minF1 82.83%
[seed 1] Epoch 096 | train 0.2021 | val 0.2173 | val macro-minF1 83.46%
[seed 1] Epoch 097 | train 0.2030 | val 0.2185 | val macro-minF1 82.43%
[seed 1] Epoch 098 | train 0.2020 | val 0.2170 | val macro-minF1 83.26%
[seed 1] Epoch 099 | train 0.2028 | val 0.2205 | val macro-minF1 83.59%
[seed 1] Epoch 100 | train 0.2038 | val 0.2158 | val macro-minF1 82.57%
Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 2, 'neighbors_per_hop': [15, 10], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': None}
Using unweighted BCEWithLogitsLoss.
[PORT] fwd edge_attr: (710, 2) (dtype=torch.int64) | rev edge_attr: (702, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 2] Epoch 001 | train 0.3257 | val 0.2810 | val macro-minF1 73.23%
[seed 2] Epoch 002 | train 0.2739 | val 0.2641 | val macro-minF1 75.07%
[seed 2] Epoch 003 | train 0.2666 | val 0.2700 | val macro-minF1 77.52%
[seed 2] Epoch 004 | train 0.2632 | val 0.2580 | val macro-minF1 76.41%
[seed 2] Epoch 005 | train 0.2595 | val 0.2724 | val macro-minF1 76.81%
[seed 2] Epoch 006 | train 0.2596 | val 0.2720 | val macro-minF1 76.50%
[seed 2] Epoch 007 | train 0.2568 | val 0.2560 | val macro-minF1 75.73%
[seed 2] Epoch 008 | train 0.2561 | val 0.2550 | val macro-minF1 76.10%
[seed 2] Epoch 009 | train 0.2560 | val 0.2580 | val macro-minF1 76.72%
[seed 2] Epoch 010 | train 0.2539 | val 0.2585 | val macro-minF1 72.65%
[seed 2] Epoch 011 | train 0.2543 | val 0.2553 | val macro-minF1 76.75%
[seed 2] Epoch 012 | train 0.2539 | val 0.2562 | val macro-minF1 76.80%
[seed 2] Epoch 013 | train 0.2524 | val 0.2633 | val macro-minF1 74.10%
[seed 2] Epoch 014 | train 0.2521 | val 0.2560 | val macro-minF1 75.02%
[seed 2] Epoch 015 | train 0.2516 | val 0.2526 | val macro-minF1 75.57%
[seed 2] Epoch 016 | train 0.2509 | val 0.2628 | val macro-minF1 75.83%
[seed 2] Epoch 017 | train 0.2505 | val 0.2529 | val macro-minF1 76.94%
[seed 2] Epoch 018 | train 0.2509 | val 0.2500 | val macro-minF1 75.13%
[seed 2] Epoch 019 | train 0.2506 | val 0.2535 | val macro-minF1 78.77%
[seed 2] Epoch 020 | train 0.2493 | val 0.2525 | val macro-minF1 74.00%
[seed 2] Epoch 021 | train 0.2499 | val 0.2533 | val macro-minF1 74.09%
[seed 2] Epoch 022 | train 0.2493 | val 0.2533 | val macro-minF1 75.60%
[seed 2] Epoch 023 | train 0.2492 | val 0.2511 | val macro-minF1 75.51%
[seed 2] Epoch 024 | train 0.2488 | val 0.2497 | val macro-minF1 77.73%
[seed 2] Epoch 025 | train 0.2480 | val 0.2547 | val macro-minF1 74.25%
[seed 2] Epoch 026 | train 0.2483 | val 0.2529 | val macro-minF1 77.29%
[seed 2] Epoch 027 | train 0.2475 | val 0.2511 | val macro-minF1 76.03%
[seed 2] Epoch 028 | train 0.2475 | val 0.2543 | val macro-minF1 74.46%
[seed 2] Epoch 029 | train 0.2462 | val 0.2498 | val macro-minF1 76.04%
[seed 2] Epoch 030 | train 0.2474 | val 0.2492 | val macro-minF1 75.53%
[seed 2] Epoch 031 | train 0.2460 | val 0.2495 | val macro-minF1 76.31%
