Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 2, 'neighbors_per_hop': [15, 10], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (695, 2) (dtype=torch.int64) | rev edge_attr: (737, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 1] Epoch 046 | train 0.2468 | val 0.2604 | val macro-minF1 83.50%
[seed 1] Epoch 047 | train 0.2478 | val 0.2491 | val macro-minF1 83.90%
[seed 1] Epoch 048 | train 0.2478 | val 0.2552 | val macro-minF1 83.82%
[seed 1] Epoch 049 | train 0.2476 | val 0.2534 | val macro-minF1 83.74%
[seed 1] Epoch 050 | train 0.2480 | val 0.2518 | val macro-minF1 84.26%
[seed 1] Epoch 051 | train 0.2470 | val 0.2517 | val macro-minF1 83.90%
[seed 1] Epoch 052 | train 0.2458 | val 0.2508 | val macro-minF1 84.16%
[seed 1] Epoch 053 | train 0.2475 | val 0.2565 | val macro-minF1 83.66%
[seed 1] Epoch 054 | train 0.2473 | val 0.2511 | val macro-minF1 83.93%
[seed 1] Epoch 055 | train 0.2459 | val 0.2535 | val macro-minF1 84.10%
[seed 1] Epoch 056 | train 0.2470 | val 0.2502 | val macro-minF1 84.06%
[seed 1] Epoch 057 | train 0.2471 | val 0.2503 | val macro-minF1 84.02%
[seed 1] Epoch 058 | train 0.2449 | val 0.2540 | val macro-minF1 84.14%
[seed 1] Epoch 059 | train 0.2437 | val 0.2530 | val macro-minF1 84.00%
[seed 1] Epoch 060 | train 0.2468 | val 0.2573 | val macro-minF1 83.84%
[seed 1] Epoch 061 | train 0.2458 | val 0.2547 | val macro-minF1 83.69%
[seed 1] Epoch 062 | train 0.2438 | val 0.2542 | val macro-minF1 84.06%
[seed 1] Epoch 063 | train 0.2446 | val 0.2589 | val macro-minF1 83.49%
[seed 1] Epoch 064 | train 0.2442 | val 0.2626 | val macro-minF1 83.54%
[seed 1] Epoch 065 | train 0.2445 | val 0.2510 | val macro-minF1 84.06%
[seed 1] Epoch 066 | train 0.2438 | val 0.2715 | val macro-minF1 82.10%
[seed 1] Epoch 067 | train 0.2431 | val 0.2539 | val macro-minF1 83.88%
[seed 1] Epoch 068 | train 0.2427 | val 0.2522 | val macro-minF1 83.59%
[seed 1] Epoch 069 | train 0.2442 | val 0.2549 | val macro-minF1 83.98%
[seed 1] Epoch 070 | train 0.2439 | val 0.2519 | val macro-minF1 83.63%
[seed 1] Epoch 071 | train 0.2427 | val 0.2551 | val macro-minF1 83.79%
[seed 1] Epoch 072 | train 0.2437 | val 0.2545 | val macro-minF1 83.97%
[seed 1] Epoch 073 | train 0.2422 | val 0.2532 | val macro-minF1 83.86%
[seed 1] Epoch 074 | train 0.2450 | val 0.2546 | val macro-minF1 83.81%
[seed 1] Epoch 075 | train 0.2427 | val 0.2522 | val macro-minF1 83.68%
[seed 1] Epoch 076 | train 0.2416 | val 0.2532 | val macro-minF1 84.03%
[seed 1] Epoch 077 | train 0.2417 | val 0.2551 | val macro-minF1 83.73%
[seed 1] Epoch 078 | train 0.2416 | val 0.2577 | val macro-minF1 82.88%
[seed 1] Epoch 079 | train 0.2415 | val 0.2625 | val macro-minF1 83.04%
[seed 1] Epoch 080 | train 0.2412 | val 0.2540 | val macro-minF1 83.94%
[seed 1] Epoch 081 | train 0.2405 | val 0.2544 | val macro-minF1 83.90%
[seed 1] Epoch 082 | train 0.2407 | val 0.2598 | val macro-minF1 83.89%
[seed 1] Epoch 083 | train 0.2421 | val 0.2546 | val macro-minF1 83.51%
[seed 1] Epoch 084 | train 0.2404 | val 0.2561 | val macro-minF1 83.69%
[seed 1] Epoch 085 | train 0.2414 | val 0.2689 | val macro-minF1 83.01%
[seed 1] Epoch 086 | train 0.2398 | val 0.2556 | val macro-minF1 83.74%
[seed 1] Epoch 087 | train 0.2409 | val 0.2550 | val macro-minF1 83.73%
[seed 1] Epoch 088 | train 0.2401 | val 0.2534 | val macro-minF1 83.69%
[seed 1] Epoch 089 | train 0.2383 | val 0.2538 | val macro-minF1 83.89%
[seed 1] Epoch 090 | train 0.2391 | val 0.2578 | val macro-minF1 83.28%
[seed 1] Epoch 091 | train 0.2397 | val 0.2652 | val macro-minF1 83.37%
[seed 1] Epoch 092 | train 0.2391 | val 0.2567 | val macro-minF1 83.74%
[seed 1] Epoch 093 | train 0.2395 | val 0.2558 | val macro-minF1 83.86%
[seed 1] Epoch 094 | train 0.2385 | val 0.2575 | val macro-minF1 83.63%
[seed 1] Epoch 095 | train 0.2377 | val 0.2562 | val macro-minF1 83.63%
[seed 1] Epoch 096 | train 0.2369 | val 0.2639 | val macro-minF1 83.57%
[seed 1] Epoch 097 | train 0.2407 | val 0.2562 | val macro-minF1 83.84%
[seed 1] Epoch 098 | train 0.2374 | val 0.2581 | val macro-minF1 83.31%
[seed 1] Epoch 099 | train 0.2377 | val 0.2566 | val macro-minF1 84.06%
[seed 1] Epoch 100 | train 0.2370 | val 0.2602 | val macro-minF1 83.58%
Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 2, 'neighbors_per_hop': [15, 10], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (710, 2) (dtype=torch.int64) | rev edge_attr: (702, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 2] Epoch 001 | train 0.4225 | val 0.3602 | val macro-minF1 78.31%
[seed 2] Epoch 002 | train 0.3546 | val 0.3447 | val macro-minF1 78.33%
[seed 2] Epoch 003 | train 0.3471 | val 0.3524 | val macro-minF1 78.12%
[seed 2] Epoch 004 | train 0.3125 | val 0.2773 | val macro-minF1 83.14%
[seed 2] Epoch 005 | train 0.2751 | val 0.2656 | val macro-minF1 83.29%
[seed 2] Epoch 006 | train 0.2675 | val 0.2848 | val macro-minF1 82.14%
[seed 2] Epoch 007 | train 0.2655 | val 0.2594 | val macro-minF1 83.63%
[seed 2] Epoch 008 | train 0.2621 | val 0.2597 | val macro-minF1 83.82%
[seed 2] Epoch 009 | train 0.2603 | val 0.2631 | val macro-minF1 83.49%
[seed 2] Epoch 010 | train 0.2610 | val 0.2577 | val macro-minF1 83.44%
[seed 2] Epoch 011 | train 0.2596 | val 0.2581 | val macro-minF1 83.78%
[seed 2] Epoch 012 | train 0.2569 | val 0.2587 | val macro-minF1 83.17%
[seed 2] Epoch 013 | train 0.2541 | val 0.2574 | val macro-minF1 82.80%
[seed 2] Epoch 014 | train 0.2547 | val 0.2524 | val macro-minF1 83.95%
[seed 2] Epoch 015 | train 0.2515 | val 0.2490 | val macro-minF1 84.59%
[seed 2] Epoch 016 | train 0.2505 | val 0.2537 | val macro-minF1 83.86%
[seed 2] Epoch 017 | train 0.2520 | val 0.2509 | val macro-minF1 83.32%
[seed 2] Epoch 018 | train 0.2491 | val 0.2492 | val macro-minF1 84.21%
[seed 2] Epoch 019 | train 0.2501 | val 0.2492 | val macro-minF1 83.99%
[seed 2] Epoch 020 | train 0.2482 | val 0.2490 | val macro-minF1 84.15%
[seed 2] Epoch 021 | train 0.2480 | val 0.2551 | val macro-minF1 83.28%
[seed 2] Epoch 022 | train 0.2481 | val 0.2501 | val macro-minF1 84.00%
[seed 2] Epoch 023 | train 0.2483 | val 0.2459 | val macro-minF1 84.49%
[seed 2] Epoch 024 | train 0.2464 | val 0.2473 | val macro-minF1 84.18%
[seed 2] Epoch 025 | train 0.2470 | val 0.2519 | val macro-minF1 84.12%
[seed 2] Epoch 026 | train 0.2468 | val 0.2455 | val macro-minF1 84.28%
[seed 2] Epoch 027 | train 0.2467 | val 0.2459 | val macro-minF1 83.96%
[seed 2] Epoch 028 | train 0.2445 | val 0.2482 | val macro-minF1 83.82%
[seed 2] Epoch 029 | train 0.2446 | val 0.2488 | val macro-minF1 84.19%
[seed 2] Epoch 030 | train 0.2453 | val 0.2447 | val macro-minF1 84.51%
[seed 2] Epoch 031 | train 0.2448 | val 0.2530 | val macro-minF1 84.25%
[seed 2] Epoch 032 | train 0.2446 | val 0.2483 | val macro-minF1 84.29%
[seed 2] Epoch 033 | train 0.2477 | val 0.2613 | val macro-minF1 83.47%
[seed 2] Epoch 034 | train 0.2453 | val 0.2449 | val macro-minF1 84.17%
[seed 2] Epoch 035 | train 0.2431 | val 0.2463 | val macro-minF1 84.04%
