Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 6, 'neighbors_per_hop': [15, 15, 10, 10, 5, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (10694, 2) (dtype=torch.int64) | rev edge_attr: (10716, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[PORT] fwd edge_attr: (11776, 2) (dtype=torch.int64) | rev edge_attr: (11824, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 1] Epoch 001 | train 0.4245 | val 0.4582 | val macro-minF1 76.52%
[seed 1] Epoch 002 | train 0.2472 | val 0.2014 | val macro-minF1 87.88%
[seed 1] Epoch 003 | train 0.1864 | val 0.1584 | val macro-minF1 89.60%
[seed 1] Epoch 004 | train 0.1574 | val 0.1567 | val macro-minF1 89.34%
[seed 1] Epoch 005 | train 0.1488 | val 0.1322 | val macro-minF1 90.86%
[seed 1] Epoch 006 | train 0.1405 | val 0.1423 | val macro-minF1 89.79%
[seed 1] Epoch 007 | train 0.1297 | val 0.1084 | val macro-minF1 91.34%
[seed 1] Epoch 008 | train 0.1042 | val 0.0894 | val macro-minF1 92.89%
[seed 1] Epoch 009 | train 0.0957 | val 0.0915 | val macro-minF1 92.94%
[seed 1] Epoch 010 | train 0.0919 | val 0.1009 | val macro-minF1 91.92%
[seed 1] Epoch 011 | train 0.0909 | val 0.0925 | val macro-minF1 92.29%
[seed 1] Epoch 012 | train 0.0869 | val 0.1014 | val macro-minF1 92.44%
[seed 1] Epoch 013 | train 0.0808 | val 0.0746 | val macro-minF1 93.77%
[seed 1] Epoch 014 | train 0.0837 | val 0.0783 | val macro-minF1 93.20%
[seed 1] Epoch 015 | train 0.0779 | val 0.0801 | val macro-minF1 93.72%
[seed 1] Epoch 016 | train 0.0784 | val 0.0698 | val macro-minF1 93.97%
[seed 1] Epoch 017 | train 0.0754 | val 0.0733 | val macro-minF1 94.03%
[seed 1] Epoch 018 | train 0.0774 | val 0.0799 | val macro-minF1 93.57%
[seed 1] Epoch 019 | train 0.0755 | val 0.0720 | val macro-minF1 94.02%
[seed 1] Epoch 020 | train 0.0742 | val 0.0726 | val macro-minF1 93.16%
