subset_id,subset_size,subset_clients,node_count_std,node_count_range,density_std,density_range,in_degree_jsd_mean,out_degree_jsd_mean,motif_profile_jsd_mean,label_prev_jsd_mean,labelset_size_jsd_mean,label_mixing_jsd_mean,generator_entropy,generator_entropy_norm,param_cv2_mean,param_avg_pairwise_zdist,param_cv2_n,param_cv2_d,param_cv2_r
s4_028,4,3|8|12|15,353.5533905932738,1000.0,0.00043315056697449636,0.001001834472940273,0.0202692016881122,0.022002432936889152,0.04124771871146397,0.036137142198070245,0.08338030463992127,0.050591250281686796,0.5623351446194949,0.8112781244601233,0.030647876482097023,2.7703999978786147,0.05555555555555555,0.030470914127422474,0.005917159763313049
s4_029,4,6|9|10|14,500.0,1000.0,0.0007409069670508041,0.0020035032531280656,0.02704982209326625,0.028342078707002897,0.053880509050567515,0.012441221778563775,0.03208881560391967,0.021133372621985246,0.5623351446194949,0.8112781244601233,0.05059536895706194,2.7726624422324697,0.1111111111111111,0.030470914127422474,0.010204081632652228
s4_030,4,4|7|9|13,500.0,1000.0,0.0004989991243750803,0.0009984982481230607,0.006595983557482251,0.00636938885280145,0.046676249223648644,0.03547508279131269,0.017910335651342618,0.0531698474122518,0.5623351446194949,0.8112781244601233,0.049184944695217565,2.7228671813874237,0.1111111111111111,0.01038062283736967,0.026063100137171922
s4_031,4,10|11|14|15,414.578098794425,1000.0,0.000649118345016494,0.0015045037533781905,0.013787184008148198,0.01426320529494619,0.06668569303916472,0.024271591979062784,0.04850821227312818,0.0403343319095059,1.039720770840351,0.9463946303575803,0.03806005613793828,2.723479297933267,0.09090909090909091,0.005671077504725726,0.017599999999998197
s4_032,4,1|5|9|11,250.0,500.0,0.00043089623604563183,0.0009966624396244143,0.021882475678537922,0.023246100305126617,0.06025126910069129,0.014315734803456638,0.019094338124931016,0.02654837277410535,0.5623351446194949,0.8112781244601233,0.03150970315805357,2.778024242705307,0.04,0.024943310657595467,0.029585798816565246
s4_033,4,3|7|9|10,500.0,1000.0,0.000413974335180714,0.0009984982481230607,0.008804547908812629,0.010087384276360878,0.007098160069582507,0.0005787595714654455,0.016234517303170742,0.0021983340034699675,-0.0,0.0,0.05059536895706194,2.707059257677901,0.1111111111111111,0.030470914127422474,0.010204081632652228
s4_034,4,3|10|13|14,433.0127018922193,1000.0,0.000546728889816061,0.0015045037533781905,0.027315885232868594,0.029006616295632157,0.05575978950641013,0.011864954473923897,0.026129414903583992,0.019655476913031784,0.5623351446194949,0.8112781244601233,0.05478660100543661,2.574346924454094,0.12,0.030470914127422474,0.013888888888887346
s4_035,4,0|1|4|11,414.578098794425,1000.0,0.0008281945028110086,0.0020025027528779403,0.018828150857563605,0.021440941142226472,0.09820149081991732,0.02235291242240247,0.006769197360363079,0.040714985109254816,1.039720770840351,0.9463946303575803,0.048479400127750545,2.641631222126952,0.09090909090909091,0.024943310657595467,0.029585798816565246
s4_036,4,2|5|7|12,216.50635094610965,500.0,0.0003721766044150103,0.0009978318044946421,0.014756714270673583,0.01455745086538591,0.045222336500649926,0.03381615781680339,0.06295852358140554,0.04960954686259723,0.5623351446194949,0.8112781244601233,0.01831806679279095,2.6669483441571864,0.01775147928994083,0.0068027210884351276,0.030399999999996888
s4_037,4,0|6|10|13,500.0,1000.0,0.0007409069670508041,0.0020035032531280656,0.02863870223022548,0.031416074067055884,0.04985250150417376,0.01234381051841309,0.03761624289518478,0.018567192678888456,0.5623351446194949,0.8112781244601233,0.06023230330922492,2.768765168075936,0.1111111111111111,0.039999999999998405,0.029585798816565246
