n,d,r,type,seed_train,seed_val,seed_test,num_nodes_train,num_nodes_val,num_nodes_test,num_edges_train,num_edges_val,num_edges_test
8000,8,3.0,random,1238683198,1401346652,755724138,8000,8000,8000,32000,32000,31984
8000,8,3.0,watts,1700342412,516867503,1711800560,8000,8000,8000,32000,32000,32000
8000,8,4.0,barabasi,96811486,1064175748,2034357816,8000,8000,8000,31984,31984,31984
8000,8,4.0,random,426148151,1170998112,1390800322,8000,8000,8000,31984,31984,32000
8000,8,4.0,watts,128894141,1170475798,1704344445,8000,8000,8000,32000,32000,32000
10000,4,2.0,barabasi,2036087498,774551810,1163283529,10000,10000,10000,19996,19996,19996
10000,4,2.0,random,56109567,1452540201,1637320554,10000,10000,10000,20000,19996,19996
10000,4,2.0,watts,1709252529,1286341424,365213038,10000,10000,10000,20000,20000,20000
10000,4,3.0,barabasi,1478182226,502219887,1018128448,10000,10000,10000,19996,19996,19996
10000,4,3.0,random,1127491638,1909565229,1955910660,10000,10000,10000,19996,19996,20000
10000,4,3.0,watts,221411035,2113829765,60764558,10000,10000,10000,20000,20000,20000
10000,4,4.0,barabasi,158414259,73726792,897111796,10000,10000,10000,19996,19996,19996
10000,4,4.0,random,95678795,353760986,1700975294,10000,10000,10000,20000,20000,19996
10000,4,4.0,watts,1190730600,91702623,1426641012,10000,10000,10000,20000,20000,20000
10000,6,2.0,barabasi,1418692124,362357896,370670602,10000,10000,10000,29991,29991,29991
10000,6,2.0,random,580710660,1005998212,879584663,10000,10000,10000,30000,29991,30000
10000,6,2.0,watts,177001916,633448033,994559144,10000,10000,10000,30000,30000,30000
10000,6,3.0,barabasi,1813289951,1774287052,1023958234,10000,10000,10000,29991,29991,29991
10000,6,3.0,random,1031288449,1304805122,827329502,10000,10000,10000,29991,29991,30000
10000,6,3.0,watts,935872686,1212139895,1460603766,10000,10000,10000,30000,30000,30000
10000,6,4.0,barabasi,264981363,287297432,1982393108,10000,10000,10000,29991,29991,29991
10000,6,4.0,random,431199449,535222827,1445605026,10000,10000,10000,29991,29991,29991
10000,6,4.0,watts,160309994,1841433445,1690555023,10000,10000,10000,30000,30000,30000
10000,8,2.0,barabasi,1646192173,1009947790,1934578173,10000,10000,10000,39984,39984,39984
10000,8,2.0,random,1148650222,919555802,1936241806,10000,10000,10000,40000,39984,39984
10000,8,2.0,watts,1930198943,561756471,764226971,10000,10000,10000,40000,40000,40000
10000,8,3.0,barabasi,276130916,1994543197,903923071,10000,10000,10000,39984,39984,39984
10000,8,3.0,random,506702970,278184865,4200478,10000,10000,10000,40000,40000,40000
10000,8,3.0,watts,1792508258,316550525,1315242309,10000,10000,10000,40000,40000,40000
