method,q,seed,eval_loss,macro_f1,macro_minority_f1,macro_pos_f1,macro_pr_auc,micro_f1,micro_pr_auc,pair_acc,subset_acc
APPLE-PostALA,0.2,0,0.328625216409814,0.40449040234088895,0.40449040234088895,0.40449040234088895,0.615800753235817,0.3281448623179421,0.5531540393829346,0.9095404014336615,0.7469664236854631
APPLE-PostALA,0.2,1,0.3451330993223317,0.41590622067451477,0.41590622067451477,0.41590622067451477,0.5955199480056763,0.32405287588605114,0.5442986786365509,0.9101040541295002,0.7364945505370957
APPLE-PostALA,0.2,2,0.33348849780643325,0.4338300719857216,0.4338300719857216,0.4338300719857216,0.5931214451789856,0.35455344162952607,0.552086491882801,0.9219495355375249,0.7664449843879503
APPLE-PostALA,0.5,0,0.3505977996428956,0.37580211460590357,0.37580211460590357,0.37580211460590357,0.5507410436868667,0.32321814387829007,0.5427196353673935,0.9085631898983572,0.7362996496300112
APPLE-PostALA,0.5,1,0.3236219922328698,0.3485491290688515,0.3485491290688515,0.3485491290688515,0.5641819536685944,0.31650525993176853,0.5544407606124878,0.9053690411508762,0.7333605077103471
APPLE-PostALA,0.5,2,0.33000446564479585,0.393635518848896,0.393635518848896,0.393635518848896,0.5819037958979607,0.34653555102218137,0.5595875561237336,0.9153907857600296,0.7542932074404126
APPLE-PostALA,0.8,0,0.5588523601299646,0.24613863676786418,0.24613863676786418,0.24613863676786418,0.3698593214154243,0.28646784733447567,0.45754507184028625,0.8961048112061816,0.7180540635900406
APPLE-PostALA,0.8,1,0.4390328579467485,0.24574509859085078,0.24574509859085078,0.24574509859085078,0.4179406508803368,0.3057190276692371,0.5162980146706104,0.9011602562179457,0.7262382297400178
APPLE-PostALA,0.8,2,0.4658799515175778,0.2678249321877956,0.2678249321877956,0.2678249321877956,0.4163640648126602,0.3257884021088276,0.5125773027539253,0.9119076882260855,0.7391215935304689
FedALA,0.2,0,0.4049487835811184,0.4129443481564522,0.4129443481564522,0.4129443481564522,0.5908572167158127,0.32630486612468645,0.5327589333057403,0.9096678811012703,0.7417025398726301
FedALA,0.2,1,0.35013576023958715,0.3875240385532379,0.3875240385532379,0.3875240385532379,0.5526899978518486,0.3198937853352291,0.5030614092946053,0.9055306016259557,0.7428102549725478
FedALA,0.2,2,0.38165633190726606,0.4210887119174004,0.4210887119174004,0.4210887119174004,0.5891101762652398,0.3434865516753804,0.5374094933271408,0.9152099625058344,0.7524115575458958
FedALA,0.5,0,0.3633180934675135,0.39140926599502557,0.39140926599502557,0.39140926599502557,0.555266124010086,0.34997680878194715,0.5429583549499511,0.9208787087926773,0.7706740653018325
FedALA,0.5,1,0.45402251763212964,0.3134517796337604,0.3134517796337604,0.3134517796337604,0.4441403031349182,0.2702045530853751,0.42418014332652093,0.8828444448154956,0.7119293450641948
FedALA,0.5,2,0.39663278251795564,0.3251444824039936,0.3251444824039936,0.3251444824039936,0.4758331924676895,0.29428874304657027,0.46332512944936755,0.8981798485876661,0.7322911262844979
FedALA,0.8,0,0.6542679407648129,0.21718954220414158,0.21718954220414158,0.21718954220414158,0.3378430515527725,0.2772125875792891,0.44315716773271563,0.8797076300612463,0.722853201949355
FedALA,0.8,1,0.7927272900176954,0.17321552522480482,0.17321552522480482,0.17321552522480482,0.2720382422208786,0.23002546777809219,0.32994180470705026,0.8542793153253747,0.7018814659481792
FedALA,0.8,2,0.7514382462513012,0.14014353118836878,0.14014353118836878,0.14014353118836878,0.19219208545982833,0.2006629752076436,0.25121522210538383,0.8224646344603084,0.670402138965267
FedAvg,0.2,0,0.31627550502553026,0.36510885804891585,0.36510885804891585,0.36510885804891585,0.6068161427974701,0.29668794285492645,0.5533377289772033,0.8933418833562768,0.7313506720870789
FedAvg,0.2,1,0.2557790157765837,0.4314501047134399,0.4314501047134399,0.4314501047134399,0.6739508181810379,0.3384686579130438,0.6484648048877716,0.9111688229236725,0.7495345589695599
