method,q,eval_loss_mean,eval_loss_std,macro_f1_mean,macro_f1_std,macro_minority_f1_mean,macro_minority_f1_std,macro_pos_f1_mean,macro_pos_f1_std,macro_pr_auc_mean,macro_pr_auc_std,micro_f1_mean,micro_f1_std,micro_pr_auc_mean,micro_pr_auc_std,pair_acc_mean,pair_acc_std,subset_acc_mean,subset_acc_std,rank_all
FedAvg,0.2,0.2771895568831773,0.03390090431348116,0.40829708725214003,0.03743457672271201,0.40829708725214003,0.03743457672271201,0.40829708725214003,0.03743457672271201,0.6492594699064891,0.03692039712840128,0.32572059036015444,0.02520511249449166,0.6094130367040634,0.04979599197482358,0.9058265147832373,0.010849402289150552,0.7450268429303017,0.012070992426390335,2
FedAvg,0.5,0.2615542882319208,0.0080247367621611,0.3934550980726878,0.021808833183917797,0.3934550980726878,0.021808833183917797,0.3934550980726878,0.021808833183917797,0.6293633778889974,0.019988613578651216,0.3424148107497489,0.009550723849981102,0.6398998146255811,0.01863475815466711,0.9128970201386482,0.00364184643076268,0.7530627615834194,0.009412157316059572,3
FedAvg,0.8,0.5231936466384055,0.11736285663864646,0.14688268067936097,0.03472116560732113,0.14688268067936097,0.03472116560732113,0.14688268067936097,0.03472116560732113,0.28946272333463036,0.11750600987057169,0.18385168108786165,0.03606683024845714,0.31065042528013387,0.13807831665555775,0.7978001019342579,0.05282101770280633,0.6429553188144705,0.030916541447589818,3
FedProx,0.2,0.2557744021132027,0.014881352573460935,0.427812293668588,0.02367330499734417,0.427812293668588,0.02367330499734417,0.427812293668588,0.02367330499734417,0.6805618127187093,0.0048680962336041765,0.3472654953762688,0.01983063546184218,0.6367015937964121,0.014582711065583205,0.9143193484912739,0.0070929373992391544,0.762996794546822,0.012613912984772846,1
FedProx,0.5,0.2822936333419757,0.010362922152230154,0.3622379983464876,0.014275232870278438,0.3622379983464876,0.014275232870278438,0.3622379983464876,0.014275232870278438,0.6315529257059098,0.012961884179207666,0.31142706308182283,0.01132868053561311,0.6277175868550936,0.01448867576611127,0.8997526107216559,0.005553707422948682,0.7296199962072256,0.014011432828512794,1
FedProx,0.8,0.483809259652544,0.10352901142140611,0.15489563395579653,0.03929432548155721,0.15489563395579653,0.03929432548155721,0.15489563395579653,0.03929432548155721,0.2810408767312765,0.14139318594989667,0.19991467064386423,0.04474603145995444,0.328152609989047,0.197586560500697,0.8171206506190979,0.04491916384333281,0.6620348028543148,0.01859951319592687,4
Fully Local,0.2,1.3028973397292576,0.1356514585880606,0.2681067424515882,0.009727746518830058,0.2681067424515882,0.009727746518830058,0.2681067424515882,0.009727746518830058,0.2999954660733541,0.005045062678002941,0.24062893920857142,0.0070010832618056604,0.2632586184889078,0.006476385543589617,0.8612864056094384,0.011214563108999282,0.7286078231735806,0.014719510541094051,8
Fully Local,0.5,1.5026559759840357,0.11543080135348438,0.15483799185603853,0.0108023287242583,0.15483799185603853,0.0108023287242583,0.15483799185603853,0.0108023287242583,0.19049238488078113,0.01319773295575761,0.1675284361567729,0.011889169724514266,0.1954572283973296,0.01710770198690241,0.7564071222284792,0.021645888130229957,0.6356863848908065,0.015588952361675259,8
Fully Local,0.8,2.7262765313005075,0.3488889673951758,0.10893348480264342,0.005325373804049477,0.10893348480264342,0.005325373804049477,0.10893348480264342,0.005325373804049477,0.12225540305177367,0.0012946146481811918,0.20916597918086985,0.015483613929986442,0.20921810890237488,0.020389628947778345,0.8327896184390425,0.017857159106351137,0.677087597157946,0.021572249215630005,8
GCFL+,0.2,0.2741950515037401,0.028310539472590466,0.4071618964274724,0.03694500632928176,0.4071618964274724,0.03694500632928176,0.4071618964274724,0.03694500632928176,0.6397843798001608,0.027339887829884845,0.33514201005684496,0.02752114836979073,0.596166996161143,0.04101535093060958,0.9092701736874883,0.011692999399525202,0.755784136660786,0.01947264388819849,3
